Timestamp,Branch,Programming_Skills,Problem_Solving,Selective attention&Perception& Decision making,Memory& Sustained attention& Perception,Long-term memory&Thinking speed &Concentration,Auditory processing&Processing speed&Perception,Conscientiousness&Perseverance&Teamwork.,Perseverance&Teamwork&Grit.,Decisionmaking_Teamwork_Grit,Teamwork_Grit_Conscientiousness,Job_Interviews,Interview_Mode,Challenges_Lockdown,Unempolyment_Opinion,Improvement,Self_Improve,Additional_Course,Placement
5/27/2021 0:45:32,Mechanical ,75,50,0,1,0,0,0,0,0,1,5,Zoom meeeting,Related education problem ,Their is a  need to change the agendas of schooling ,,Work on live projects,Yes,Low
5/27/2021 0:45:44,Mechanical ,75,70,0,0,0,0,1,0,0,0,0,Google meet,offline training opportunity ,yes I have one solution when students are in third year(second sem.)  TPO should offer student they must learn two languages and one database and first sem of BE TPO must give them soft skill mindset training and mock interview ,,rather than focusing on text book teacher make passion of student and feel them what they want after that student don't need any motivation.,No,High
5/27/2021 1:01:53,Electrical ,50,75,0,1,0,0,1,0,0,0,1,Phone call,Nothing,"My suggestion is that, everyone needs a job in these pandemic situation..so give a chance to each and every talented person",,"Communication, selfconfidence and positive attitude",Yes,Low
5/27/2021 1:50:39,Electrical,80,70,0,0,1,0,0,0,0,0,1,No,No challenge,Yes ,,No need,Maybe,Low
5/27/2021 7:49:57,Electrical,49,68,0,1,0,0,1,0,0,0,,Zoom meeting,Regarding To Career Lots Of Problem Faced Major problem Is we Cannot Go Outside In Lockdown that's Why Student Can't attend Interview ,Change in Education System. Add Some Practical Base Subject. Design Syllabus As Per Industry Requirements.Try To Improve Skill in Student.IF Possible then Compulsory 6-12 Month Industry Internship.,,NA,Yes,Low
5/27/2021 8:21:36,Electrical,80,90,1,0,0,0,1,0,0,0,NA,Google meet,Financial,Training for new technologies should be given to to youth and already working employees to boost company revenue and even secure job ,,"Online courses , self practice, Try work on new trendy projects ",No,High
5/27/2021 8:47:30,Electrical,68,65,1,0,0,0,0,1,0,0,1,No,I will not any kind of challenges faced during pandemic,Yes I m telling a one suggestion that should be a very basic think which one is the corruption according to situation of India the GDP goes down rapidly so more jobs or company can be closed permanently  so I will suggested that corruption stop write now and also privatization for all government sector area to get a more jobs to all those candidates who where jobless ,,From my side I will work hard at any time and day by day I will find a new think where my time waste should I don't that think and focus on our work time to time,Maybe,High
5/27/2021 9:51:57,Electrical,10,30,1,0,0,0,0,0,0,1,0,No,"All i can say is at the verge of getting placed, lockdown was imposed and everything just fell apart since then.",.,,.,No,Low
5/27/2021 9:55:38,Mechanical ,70,80,1,0,0,0,0,0,1,0,0,Zoom meeting,Facing Problem in clearing doubts. ,I think beside educational system we should start some of the short term training programmes for making strong technically. ,,Meeting new people's and taking a survey of colleagues opinion about my skills,Yes,High
5/27/2021 10:03:40,Electrical,30,66,0,1,0,0,1,0,0,0,1,Phone call,Unemployment,Improving personal skills,,"Learn on your own , online platforms",No,Low
5/27/2021 10:35:14,E&TC,59,50,0,1,0,0,0,0,1,0,1,No ,Much more ,Due to unpolimante we are weasting our contrys human If the unpolimante proem solve,,"breacking down a skill
Always look for ways to improve 
Take action -start learning a skill ",No,Low
5/27/2021 10:39:02,Electrical,70,,0,1,0,0,0,0,1,0,-,No,-,-,,-,Maybe,Low
5/27/2021 10:50:39,Electrical,30,50,0,0,1,0,1,0,0,0,0,No,I used perfectly lockdown days,Improve education ,,"Social medias 
Books 
Group chats",Yes,Low
5/27/2021 13:05:33,Computer ,40,60,1,0,0,0,0,0,1,0,1,Zoom meeting,Nothing,I choose stock market. Now I'm successful trader with daily minimum earning 50000/- nore than enough. Sometimes we are in wrong place. We can try different path also. Now I'm going to become investment advisor,,"Learn skill on youTube, udemy ",Maybe,Low
5/27/2021 13:13:38,Civil,50,80,0,0,1,0,0,0,1,0,2,Google meet,No challenges,Yes this is must in india,,Is depend on project,No,Low
5/27/2021 13:43:14,Computer ,60,60,0,1,0,0,0,1,0,0,0,No,"These strange times provide an opportunity for us to break out of our normal routines and try new things.Problem solving can also help you to manage your thoughts and worries. It allows you to define exactly what you are worrying about, and then find the best solution.","by bringing in skill development courses right from the secondary level of schooling. This will prepare the upcoming generation for the industrial requirements.
By setting up job fairs, organised not only by governments but also by corporates.
we need to do is provide soft skills to unemployed people, the rest will they do themselves.",,"Focus on data structure and algorithms.Focus on problem solving,.Focus on logical thinking ",Maybe,High
5/27/2021 15:39:27,Computer ,85,90,0,0,1,0,0,0,1,0,1,Zoom meeting,"Inconsistency, lack of motivation ","Learning in demand skills, Building a strong foundation in those skills. ",,"Online courses, Internships, Live projects, Contribution in Open Source Projects. ",No,High
5/27/2021 16:04:59,Electrical ,35,65,0,1,0,0,0,0,1,0,0,Google meet,Due to lockdown I have lose my course opportunity which i wanted to completed. I Missed lot academic fun also.,To build skill and start our business. ,,Learned from mistakes. Read books.,Yes,Low
5/27/2021 17:00:21,Electrical,60,60,0,1,0,0,0,0,1,0,1,No,I already got job,Students should be updated themself n they should be  give one chance to prove themself,,"Hardworking,
Good Communication
 
",No,High
5/27/2021 17:06:46,Electrical,,20,0,1,0,0,0,0,1,0,1,No,How I will settle in future.,Firstly teach us practical knowledge and stay politics away from recruitment,,Field knowledge,Yes,Low
5/27/2021 17:27:34,Electrical ,40,,0,0,1,0,0,0,1,0,0,Zoom meeting ,Employment,Change in education system,,"Attending different classes
Attend the webinar
",Yes,Low
